127.0.0.1 - - [27/Mar/2026 12:59:15] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:00:08] code 404, message File not found
127.0.0.1 - - [27/Mar/2026 13:00:08] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [27/Mar/2026 13:57:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:10] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:10] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:10] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:10] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:10] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:10] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:10] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 13:57:15] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:06:48] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:26] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:27] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:27] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:27] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:27] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:27] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:27] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:07:27] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:30] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:59] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:59] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:59] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:59] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:59] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:59] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:24:59] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:25:00] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:48] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:48] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:49] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:49] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:49] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:49] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:49] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:33:49] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:43:18] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:45:56] "GET /market.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 14:52:48] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:52:49] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:52:51] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:52:51] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:52:51] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:52:51] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:52:51] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 14:52:51] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:18] "GET /market.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 15:02:46] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:46] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:47] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:47] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:47] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:47] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:47] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:02:47] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:03:31] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:36] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 15:06:45] "GET /login.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 15:11:23] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 15:11:23] "GET /market.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 16:48:18] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 16:48:18] "GET /market.html HTTP/1.1" 304 -
127.0.0.1 - - [27/Mar/2026 17:10:47] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:10:48] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:10:48] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:10:48] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:10:48] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:10:48] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:10:48] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:10:48] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:30] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:30] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:31] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:31] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:31] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:31] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:31] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:11:31] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:50] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:51] "GET /market.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:51] "GET /review.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:51] "GET /shortlist.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:51] "GET /analyze.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:51] "GET /report_analysis.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:51] "GET /settings.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 17:37:51] "GET /login.html HTTP/1.1" 200 -
